,Vocab,Part,Meaning,Example
271,confection,(n.),"a sweet, fancy food",(We went to the mall food court and purchased a delicious confection.)
272,confidant,(n.),a person entrusted with secrets,"(Shortly after we met, she became my chief confidant.)"
273,conflagration,(n.),great fire,(The conflagration consumed the entire building.)
274,confluence,(n.),a gathering together,(confluence of different factors made tonight the perfect night.)
275,conformist,(n.),one who behaves the same as others,(Julian was such a conformist that he had to wait and see if his friends would do something before he would commit.)
276,confound,(v.),"to frustrate, confuse",(MacGuyver confounded the policemen pursuing him by covering his tracks.)
277,congeal,(v.),to thicken into a solid,(The sauce had congealed into a thick paste.)
278,congenial,(adj.),pleasantly agreeable,(His congenial manner made him popular wherever he went.)
279,congregation,(n.),"a gathering of people, especially for religious services",(The priest told the congregation that he would be retiring.)
280,congruity,(n.),the quality of being in agreement,(Bill and Veronica achieved a perfect congruity of opinion.)
281,connive,(v.),"to plot, scheme",(She connived to get me to give up my vacation plans.)
282,consecrate,(v.),to dedicate something to a holy purpose,(Arvin consecrated his spare bedroom as a shrine to Christina.)
283,consensus,(n.),an agreement of opinion,(The jury was able to reach a consensus only after days of deliberation.)
284,consign,(v.),to give something over to another’s care,"(Unwillingly, he consigned his mother to a nursing home.)"
285,consolation,(n.),an act of comforting,(Darren found Alexandra’s presence to be a consolation for his suffering.)
286,consonant,(adj.),in harmony,(The singers’ consonant voices were beautiful.)
287,constituent,(n.),an essential part,(The most important constituent of her perfume is something called ambergris.)
288,constrain,(v.),to forcibly restrict,(His belief in nonviolence constrained him from taking revenge on his attackers.)
289,construe,(v.),to interpret,(He construed her throwing his clothes out the window as a signal that she wanted him to leave.)
290,consummate,(v.),to complete a deal; to complete a marriage ceremony through sexual intercourse,(Erica and Donald consummated their agreement in the executive boardroom.)
291,consumption,(n.),the act of consuming,(Consumption of intoxicating beverages is not permitted on these premises.)
292,contemporaneous,(adj.),existing during the same time,"(Though her novels do not feature the themes of Romanticism, Jane Austen’s work was contemporaneous with that of Wordsworth and Byron.)"
293,contentious,(adj.),having a tendency to quarrel or dispute,(George’s contentious personality made him unpopular with his classmates.)
294,contravene,(v.),"to contradict, oppose, violate",(Edwidge contravened his landlady’s rule against overnight guests.)
295,contrite,(adj.),"penitent, eager to be forgiven",(Blake’s contrite behavior made it impossible to stay angry at him.)
296,contusion,(n.),"bruise, injury",(The contusions on his face suggested he’d been in a fight.)
297,conundrum,(n.),"puzzle, problem",(Interpreting Jane’s behavior was a constant conundrum.)
298,convene,(v.),to call together,(Jason convened his entire extended family for a discussion.)
299,convention,(n.),an assembly of people,(The hotel was full because of the cattleranchers’ convention.)
300, ,(n.),"a rule, custom",(The cattle-ranchers have a convention that you take off your boots before entering their houses.)
301,convivial,(adj.),"characterized by feasting, drinking, merriment",(The restaurant’s convivial atmosphere put me immediately at ease.)
302,convoluted,(adj.),"intricate, complicated",(Grace’s story was so convoluted that I couldn’t follow it.)
303,copious,(adj.),"profuse, abundant",(Copious amounts of Snapple were imbibed in the cafeteria.)
304,cordial,(adj.),"warm, affectionate",(His cordial greeting melted my anger at once.)
305,coronation,(n.),the act of crowning,(The new king’s coronation occurred the day after his father’s death.)
306,corpulence,(adj.),extreme fatness,"(Henry’s corpulence did not make him any less attractive to his charming, svelte wife.)"
307,corroborate,(v.),to support with evidence,(Luke’s seemingly outrageous claim was corroborated by witnesses.)
308,corrosive,(adj.),having the tendency to erode or eat away,(The effect of the chemical was highly corrosive.)
309,cosmopolitan,(adj.),"sophisticated, worldly","(Lloyd’s education and upbringing were cosmopolitan, so he felt right at home among the powerful and learned.)"
310,counteract,(v.),"to neutralize, make ineffective",(The antidote counteracted the effect of the poison.)
311,coup,(n.),"a brilliant, unexpected act",(Alexander pulled off an amazing coup when he got a date with Cynthia by purposely getting hit by her car.)
312, ,(n.),the overthrow of a government and assumption of authority,"(In their coup attempt, the army officers stormed the Parliament and took all the legislators hostage.)"
313,covet,(v.),to desire enviously,"(coveted Moses’s house, wife, and car.)"
314,covert,(adj.),secretly engaged in,"(Nerwin waged a covertcampaign against his enemies, while outwardly appearing to remain friendly.)"
315,credulity,(n.),readiness to believe,(His credulity made him an easy target for con men.)
316,crescendo,(n.),a steady increase in intensity or volume,(The crescendo of the brass instruments gave the piece a patriotic feel.)
317,criteria,(n.),standards by which something is judged,(Among Mrs. Fields’s criteria for good cookies are that they be moist and chewy.)
318,culmination,(n.),the climax toward which something progresses,(The culmination of the couple’s argument was the decision to divorce.)
319,culpable,(adj.),deserving blame,"(He was culpable of the crime, and was sentenced to perform community service for 75 years.)"
320,cultivate,(v.),"to nurture, improve, refine","(At the library, she cultivated her interest in spy novels.)"
321,cumulative,(adj.),"increasing, building upon itself",(The cumulative effect of hours spent in the sun was a deep tan.)
322,cunning,(adj.),"sly, clever at being deceitful",(The general devised a cunning plan to surprise the enemy.)
323,cupidity,(n.),"greed, strong desire",(His cupidity made him enter the abandoned gold mine despite the obvious dangers.)
324,cursory,(adj.),brief to the point of being superficial,"(Late for the meeting, she cast a cursory glance at the agenda.)"
325,curt,(adj.),abruptly and rudely short,(Her curt reply to my question made me realize that she was upset at me.)
326,curtail,(v.),"to lessen, reduce","(Since losing his job, he had to curtail his spending.)"
327,daunting,(adj.),"intimidating, causing one to lose courage",(He kept delaying the daunting act of asking for a promotion.)
328,dearth,(n.),"a lack, scarcity","(An eager reader, she was dismayed by the dearth of classic books at the library.)"
329,debacle,(n.),"a disastrous failure, disruption",(The elaborately designed fireworks show turned into a debacle when the fireworks started firing in random directions.)
330,debase,(v.),to lower the quality or esteem of something,(The large raise that he gave himself debased his motives for running the charity.)
331,debauch,(v.),to corrupt by means of sensual pleasures,(An endless amount of good wine and cheese debauched the traveler.)
332,debunk,(v.),to expose the falseness of something,(He debunked her claim to be the world’s greatest chess player by defeating her in 18 consecutive matches.)
333,decorous,(adj.),"socially proper, appropriate",(The appreciative guest displayed decorous behavior toward his host.)
334,decry,(v.),to criticize openly,(The kind video rental clerk decried the policy of charging customers late fees.)
335,deface,(v.),to ruin or injure something’s appearance,(The brothers used eggs and shaving cream to deface their neighbor’s mailbox.)
336,defamatory,(adj.),harmful toward another’s reputation,(The defamatory gossip spreading about the actor made the public less willing to see the actor’s new movie.)
337,defer,(v.),to postpone something; to yield to another’s wisdom,"(Ron deferred to Diane, the expert on musical instruments, when he was asked about buying a piano.)"
338,deferential,(adj.),showing respect for another’s authority,(His deferential attitude toward her made her more confident in her ability to run the company.)
339,defile,(v.),"to make unclean, impure",(She defiled the calm of the religious building by playing her banjo.)
340,deft,(adj.),"skillful, capable","(Having worked in a bakery for many years, Marcus was a deft bread maker.)"
341,defunct,(adj.),no longer used or existing,(They planned to turn the defunct schoolhouse into a community center.)
342,delegate,(v.),to hand over responsibility for something,(The dean delegated the task of finding a new professor to a special hiring committee.)
343,deleterious,(adj.),harmful,(She experienced the deleterious effects of running a marathon without stretching her muscles enough beforehand.)
344,deliberate,(adj.),"intentional, reflecting careful consideration","(Though Mary was quite upset, her actions to resolve the dispute were deliberate.)"
345,delineate,(v.),"to describe, outline, shed light on",(She neatly delineated her reasons for canceling the project’s funding.)
346,demagogue,(n.),a leader who appeals to a people’s prejudices,(The demagogue strengthened his hold over his people by blaming immigrants for the lack of jobs.)
347,demarcation,(n.),the marking of boundaries or categories,(Different cultures have different demarcations of good and evil.)
348,demean,(v.),to lower the status or stature of something,(She refused to demean her secretary by making him order her lunch.)
349,demure,(adj.),"quiet, modest, reserved","(Though everyone else at the party was dancing and going crazy, she remained demure.)"
350,denigrate,(v.),"to belittle, diminish the opinion of",(The company decided that its advertisements would no longer denigrate the company’s competitors.)
351,denounce,(v.),to criticize publicly,(The senator denounced her opponent as a greedy politician.)
352,deplore,(v.),"to feel or express sorrow, disapproval",(We all deplored the miserable working conditions in the factory.)
353,depravity,(n.),wickedness,(Rumors of the ogre’s depravity made the children afraid to enter the forest.)
354,deprecate,(v.),"to belittle, depreciate","(Always over-modest, he deprecated his contribution to the local charity.)"
355,derelict,(adj.),"abandoned, run-down","(Even though it was dangerous, the children enjoyed going to the deserted lot and playing in the derelict house.)"
356,deride,(v.),"to laugh at mockingly, scorn",(The bullies derided the foreign student’s accent.)
357,derivative,(adj.),"taken directly from a source, unoriginal",(She was bored by his music because she felt that it was derivative and that she had heard it before.)
358,desecrate,(v.),to violate the sacredness of a thing or place,(They feared that the construction of a golf course would desecrate the preserved wilderness.)
359,desiccated,(adj.),"dried up, dehydrated",(The skin of the desiccated mummy looked like old paper.)
360,desolate,(adj.),"deserted, dreary, lifeless",(She found the desolate landscape quite a contrast to the hustle and bustle of the overcrowded city.)
361,despondent,(adj.),"feeling depressed, discouraged, hopeless","(Having failed the first math test, the despondent child saw no use in studying for the next and failed that one too.)"
362,despot,(n.),one who has total power and rules brutally,(The despot issued a death sentence for anyone who disobeyed his laws.)
363,destitute,(adj.),"impoverished, utterly lacking",(The hurricane destroyed many homes and left many families destitute.)
364,deter,(v.),"to discourage, prevent from doing",(Bob’s description of scary snakes couldn’t deter Marcia from traveling in the rainforests.)
365,devious,(adj.),"not straightforward, deceitful","(Not wanting to be punished, the devious girl blamed the broken vase on the cat.)"
366,dialect,(n.),a variation of a language,"(In the country’s remote, mountainous regions, the inhabitants spoke a dialect that the country’s other inhabitants had difficulty understanding.)"
367,diaphanous,(adj.),"light, airy, transparent","(Sunlight poured in through the diaphanous curtains, brightening the room.)"
368,didactic,(adj.),intended to instruct,(She wrote up a didactic document showing new employees how to handle the company’s customers.)
369, ,(adj.),overly moralistic,"(His didacticstyle of teaching made it seem like he wanted to persuade his students not to understand history fully, but to understand it from only one point of view.)"
370,diffident,(adj.),"shy, quiet, modest","(While eating dinner with the adults, the diffident youth did not speak for fear of seeming presumptuous.)"
371,diffuse,(v.),"to scatter, thin out, break up",(He diffused the tension in the room by making in a joke.)
372, ,(adj.),"not concentrated, scattered, disorganized","(In her writings, she tried unsuccessfully to make others understand her diffuse thoughts.)"
373,dilatory,(adj.),"tending to delay, causing delay",(The general’s dilatory strategy enabled the enemy to regroup.)
374,diligent,(adj.),showing care in doing one’s work,(The diligent researcher made sure to check her measurements multiple times.)
375,diminutive,(adj.),small or miniature,"(The bullies, tall and strong, picked on the diminutive child.)"
376,dirge,(n.),"a mournful song, especially for a funeral",(The bagpipers played a dirge as the casket was carried to the cemetery.)
377,disaffected,(adj.),"rebellious, resentful of authority","(Dismayed by Bobby’s poor behavior, the parents sent their disaffected son to a military academy to be disciplined.)"
378,disavow,(v.),to deny knowledge of or responsibility for,"(Not wanting others to criticize her, she disavowed any involvement in the company’s hiring scandal.)"
379,discern,(v.),"to perceive, detect","(Though he hid his emotions, she discerned from his body language that he was angry.)"
380,disclose,(v.),"to reveal, make public",(The CEO disclosed to the press that the company would have to fire several employees.)
381,discomfit,(v.),"to thwart, baffle",(The normally cheery and playful children’s sudden misery discomfited the teacher.)
382,discordant,(adj.),"not agreeing, not in harmony with",(The girls’ sobs were a discordant sound amid the general laughter that filled the restaurant.)
383,discrepancy,(n.),"difference, failure of things to correspond",(He was troubled by the discrepancy between what he remembered paying for the appliance and what his receipt showed he paid for it.)
384,discretion,(n.),the quality of being reserved in speech or action; good judgment,"(Not wanting her patient to get overly anxious, the doctor used discretion in deciding how much to tell the patient about his condition.)"
385,discursive,(adj.),"rambling, lacking order",(The professor’s discursive lectures seemed to be about every subject except the one initially described.)
386,disdain,(v.),"to scorn, hold in low esteem","(Insecure about their jobs, the older employees disdained the recently hired ones, who were young and capable.)"
387, ,(n.),"scorn, low esteem","(After learning of his immoral actions, Justine held Lawrence in disdain.)"
388,disgruntled,(adj.),"upset, not content","(The child believed that his parents had unjustly grounded him, and remained disgruntled for a week.)"
389,disheartened,(adj.),feeling a loss of spirit or morale,(The team was disheartened after losing in the finals of the tournament.)
390,disparage,(v.),to criticize or speak ill of,(The saleswoman disparaged the competitor’s products to persuade her customers to buy what she was selling.)
391,disparate,(adj.),"sharply differing, containing sharply contrasting elements","(Having widely varying interests, the students had disparate responses toward the novel.)"
392,dispatch,(v.),to send off to accomplish a duty,(The carpenter dispatched his assistant to fetch wood.)
393,dispel,(v.),"to drive away, scatter","(She entered the office as usual on Monday, dispelling the rumor that she had been fired.)"
394,disperse,(v.),"to scatter, cause to scatter","(When the rain began to pour, the crowd at the baseball game quickly dispersed.)"
395,disrepute,(n.),a state of being held in low regard,(The officer fell into disrepute after it was learned that he had disobeyed the orders he had given to his own soldiers.)
396,dissemble,(v.),"to conceal, fake","(Not wanting to appear heartlessly greedy, she dissembled and hid her intention to sell her ailing father’s stamp collection.)"
397,disseminate,(v.),to spread widely,(The politician disseminated his ideas across the town before the election.)
398,dissent,(v.),to disagree,"(The principal argued that the child should repeat the fourth grade, but the unhappy parents dissented.)"
399, ,(n.),the act of disagreeing,"(Unconvinced that the defendant was guilty, the last juror voiced his dissent with the rest of the jury.)"
400,dissipate,(v.),"to disappear, cause to disappear",(The sun finally came out and dissipated the haze.)
401, ,(v.),to waste,(She dissipated her fortune on a series of bad investments.)
402,dissonance,(n.),lack of harmony or consistency,"(Though the president of the company often spoke of the company as reliant solely upon its workers, her decision to increase her own salary rather than reward her employees revealed a striking dissonance between her alleged beliefs and her actions.)"
403,dissuade,(v.),to persuade someone not to do something,"(Worried that he would catch a cold, she tried to dissuade him from going out on winter nights.)"
404,distend,(v.),to swell out,(Years of drinking beer caused his stomach to distend.)
405,dither,(v.),to be indecisive,"(Not wanting to offend either friend, he dithered about which of the two birthday parties he should attend.)"
406,divine,(adj.),"godly, exceedingly wonderful","(Terribly fond of desserts, she found the rich chocolate cake to be divine.)"
407,divisive,(adj.),"causing dissent, discord",(Her divisive tactics turned her two friends against each other.)
408,divulge,(v.),to reveal something secret,"(Pressured by the press, the government finally divulged the previously unknown information.)"
409,docile,(adj.),easily taught or trained,(She successfully taught the docile puppy several tricks.)
410,dogmatic,(adj.),aggressively and arrogantly certain about unproved principles,(His dogmatic claim that men were better than women at fixing appliances angered everyone.)
411,dormant,(adj.),"sleeping, temporarily inactive","(Though she pretended everything was fine, her anger lay dormant throughout the dinner party and exploded in screams of rage after everyone had left.)"
412,dour,(adj.),"stern, joyless",(The children feared their dour neighbor because the old man would take their toys if he believed they were being too loud.)
413,dubious,(adj.),"doubtful, of uncertain quality","(Suspicious that he was only trying to get a raise, she found his praise dubious.)"
414,duplicity,(n.),crafty dishonesty,"(His duplicity involved convincing his employees to let him lower their salaries and increase their stock options, and then to steal the money he saved and run the company into the ground.)"
415,duress,(n.),"hardship, threat","(It was only under intense duress that he, who was normally against killing, fired his gun.)"
416,dynamic,(adj.),actively changing,(The parents found it hard to keep up with the dynamic music scene with which their children had become very familiar.)
417,ebullient,(adj.),"extremely lively, enthusiastic",(She became ebullient upon receiving an acceptance letter from her first-choice college.)
418,eclectic,(adj.),consisting of a diverse variety of elements,"(That bar attracts an eclectic crowd: lawyers, artists, circus clowns, and investment bankers.)"
419,ecstatic,(adj.),intensely and overpoweringly happy,(The couple was ecstatic when they learned that they had won the lottery.)
420,edict,(n.),"an order, decree",(The ruler issued an edict requiring all of his subjects to bow down before him.)
421,efface,(v.),"to wipe out, obliterate, rub away",(The husband was so angry at his wife for leaving him that he effaced all evidence of her presence; he threw out pictures of her and gave away all her belongings.)
422,effervescent,(adj.),"bubbly, lively",(My friend is so effervescent that she makes everyone smile.)
423,efficacious,(adj.),effective,"(My doctor promised me that the cold medicine was efficacious, but ’m still sniffling.)"
424,effrontery,(n.),"impudence, nerve, insolence","(When I told my aunt that she was boring, my mother scolded me for my effrontery.)"
425,effulgent,(adj.),"radiant, splendorous",(The golden palace was effulgent.)
426,egregious,(adj.),extremely bad,(The student who threw sloppy joes across the cafeteria was punished for his egregious behavior.)
427,elaborate,(adj.),"complex, detailed, intricate",(Dan always beats me at chess because he develops such an elaborate game plan that I can never predict his next move.)
428,elated,(adj.),"overjoyed, thrilled","(When she found out she had won the lottery, the writer was elated.)"
429,elegy,(n.),a speech given in honor of a dead person,"(At the funeral, the widow gave a moving elegy describing her love for her husband.)"
430,elicit,(v.),"to bring forth, draw out, evoke","(Although I asked several times where the exit was, I elicited no response from the stone-faced policeman.)"
431,eloquent,(adj.),"expressive, articulate, moving",(The priest gave such an eloquent sermon that most churchgoers were crying.)
432,elucidate,(v.),"to clarify, explain","(didn’t understand why my friend was so angry with me, so I asked Janine to elucidate her feelings.)"
433,elude,(v.),"to evade, escape","(Despite an intense search, the robber continues to elude the police.)"
434,emaciated,(adj.),"very thin, enfeebled looking",(My sister eats a lot of pastries and chocolate but still looks emaciated.)
435,embellish,(v.),"to decorate, adorn",(My mom embellished the living room by adding lace curtains.)
436, ,(v.),"to add details to, enhance","(When Harry told me that he had “done stuff” on his vacation, I asked him to embellish upon his account.)"
437,embezzle,(v.),to steal money by falsifying records,"(The accountant was fired for embezzling $10,000 of the company’s funds.)"
438,emend,(v.),to correct or revise a written text,"(If my sentence is incorrect, the editor will emend what I have written.)"
439,eminent,(adj.),"distinguished, prominent, famous",(Mr. Phillips is such an eminent scholar that every professor on campus has come to hear him lecture.)
440, ,(adj.),conspicuous,(There is an eminent stain on that shirt.)
441,emollient,(adj.),soothing,(This emollient cream makes my skin very smooth.)
442,emote,(v.),to express emotion,"(The director told the actor he had to emote, or else the audience would have no idea what his character was going through.)"
443,empathy,(n.),sensitivity to another’s feelings as if they were one’s own,(feel such empathy for my sister when she’s in pain that I cry too.)
444,empirical,(adj.),based on observation or experience,(The scientist gathered empirical data on the growth rate of dandelions by studying the dandelions behind his house.)
445, ,(adj.),capable of being proved or disproved by experiment,"(That all cats hate getting wet is an empirical statement: I can test it by bathing my cat, Trinket.)"
446,emulate,(v.),to imitate,"(idolize Britney Spears so much that I emulate everything she does: I wear her outfits, sing along to her songs, and date a boy named Justin.)"
447,enamor,(v.),"to fill with love, fascinate, usually used in passive form followed by “of” or “with”",(grew enamored of that boy when he quoted my favorite love poem.)
448,encore,(n.),the audience’s demand for a repeat performance; also the artist’s performance in response to that demand,"(At the end of the concert, all the fans yelled, “Encore! Encore!” but the band did not come out to play again.)"
449,encumber,(v.),"to weigh down, burden","(At the airport, my friend was encumbered by her luggage, so I offered to carry two of her bags.)"
450,enervate,(v.),"to weaken, exhaust",(Writing these sentences enervates me so much that will have to take a nap after I finish.)
451,enfranchise,(v.),to grant the vote to,(The Nineteenth Amendment enfranchised women.)
452,engender,(v.),"to bring about, create, generate","(During the Olympics, the victories of .. athletes engender a patriotic spirit among Americans.)"
453,enigmatic,(adj.),"mystifying, cryptic",(That man wearing the dark suit and dark glasses is so enigmatic that no one even knows his name.)
454,enmity,(n.),"ill will, hatred, hostility","(Mark and Andy have clearly not forgiven each other, because the enmity between them is obvious to anyone in their presence.)"
455,ennui,(n.),"boredom, weariness","(feel such ennui that I don’t look forward to anything, not even my birthday party.)"
456,entail,(v.),to include as a necessary step,(Building a new fence entails tearing down the old one.)
457,enthrall,(v.),"to charm, hold spellbound",(The sailor’s stories of fighting off sharks and finding ancient treasures enthralled his young son.)
458,ephemeral,(adj.),"short-lived, fleeting","(She promised she’d love me forever, but her “forever” was only ephemeral: she left me after one week.)"
459,epistolary,(adj.),relating to or contained in letters,"(Some people call me “Auntie’s boy,” because my aunt and I have such a close epistolary relationship that we write each other every day.)"
460,epitome,(n.),"a perfect example, embodiment","(My mother, the epitome of good taste, always dresses more elegantly than I do.)"
461,equanimity,(n.),composure,"(Even though he had just been fired, Mr. Simms showed great equanimity by neatly packing up his desk and wishing everyone in the office well.)"
462,equivocal,(adj.),"ambiguous, uncertain, undecided",(His intentions were so equivocal that I didn’t know whether he was being chivalrous or sleazy.)
463,erudite,(adj.),learned,(My Latin teacher is such an erudite scholar that he has translated some of the most difficult and abstruse ancient poetry.)
464,eschew,(v.),"to shun, avoid",(George hates the color green so much that he eschews all green food.)
465,esoteric,(adj.),understood by only a select few,(Even the most advanced students cannot understand the physicist’s esoteric theories.)
466,espouse,(v.),"to take up as a cause, support",(love animals so much that I espouse animal rights.)
467,ethereal,(adj.),"heavenly, exceptionally delicate or refined","(In her flowing silk gown and lace veil, the bride looked ethereal.)"
468,etymology,(n.),"the history of words, their origin and development","(From the study of etymology, I know that the word “quixotic” derives from Don Quixote and the word “gaudy” refers to the Spanish architect Gaudí.)"
469,euphoric,(adj.),"elated, uplifted",(was euphoric when I found out that my sister had given birth to twins.)
470,evanescent,(adj.),"fleeting, momentary",(My joy at getting promoted was evanescent because I discovered that I would have to work much longer hours in a less friendly office.)
471,evince,(v.),"to show, reveal",(Christopher’s hand-wringing and nail-biting evince how nervous he is about the upcoming English test.)
472,exacerbate,(v.),"to make more violent, intense",(The gruesome and scary movie I saw last night exacerbated my fears of the dark.)
473,exalt,(v.),"to glorify, praise",(Michael Jordan is the figure in basketball we exalt the most.)
474,exasperate,(v.),"to irritate, irk",(George’s endless complaints exasperated his roomate.)
475,excavate,(v.),to dig out of the ground and remove,(The pharaoh’s treasures were excavated by archeologists in Egypt.)
476,exculpate,(v.),"to free from guilt or blame, exonerate",(My discovery of the ring behind the dresser exculpated me from the charge of having stolen it.)
477,excursion,(n.),a trip or outing,"(After taking an excursion to the Bronx Zoo, I dreamed about pandas and monkeys.)"
478,execrable,(adj.),"loathsome, detestable",(Her pudding is so execrable that it makes me sick.)
479,exhort,(v.),"to urge, prod, spur",(Henry exhorted his colleagues to join him in protesting against the university’s hiring policies.)
480,exigent,(adj.),"urgent, critical","(The patient has an exigent need for medication, or else he will lose his sight.)"
481,exonerate,(v.),"to free from guilt or blame, exculpate",(The true thief’s confession exonerated the man who had been held in custody for the crime.)
482,exorbitant,(adj.),excessive,(Her exorbitant praise made me blush and squirm in my seat.)
483,expedient,(adj.),"advisable, advantageous, serving one’s self-interest","(In his bid for reelection, the governor made an expedient move by tabling all controversial legislation.)"
484,expiate,(v.),"to make amends for, atone","(To expiate my selfishness, I gave all my profits to charity.)"
485,expunge,(v.),"to obliterate, eradicate","(Fearful of an IRS investigation, Paul tried to expunge all incriminating evidence from his tax files.)"
486,expurgate,(v.),"to remove offensive or incorrect parts, usually of a book",(The history editors expurgated from the text all disparaging and inflammatory comments about the Republican Party.)
487,extant,(adj.),"existing, not destroyed or lost",(My mother’s extant love letters to my father are in the attic trunk.)
488,extol,(v.),"to praise, revere",(Violet extolled the virtues of a vegetarian diet to her meatloving brother.)
489,extraneous,(adj.),"irrelevant, extra, not necessary","(Personal political ambitions should always remain extraneous to legislative policy, but, unfortunately, they rarely are.)"
490,extricate,(v.),to disentangle,"(Instead of trying to mediate between my brother and sister, I extricated myself from the family tension entirely and left the house for the day.)"
491,exult,(v.),to rejoice,"(When she found out she won the literature prize, Mary exulted by dancing and singing through the school’s halls.)"
492,fabricate,(v.),"to make up, invent","(When I arrived an hour late to class, I fabricated some excuse about my car breaking down on the way to school.)"
493,façade,(n.),the wall of a building,(Meet me in front of the museum’s main façade.)
494, ,(n.),a deceptive appearance or attitude,"(Despite my smiling façade, I am feeling melancholy.)"
495,facile,(adj.),"easy, requiring little effort",(This game is so facile that even a four-yearold can master it.)
496, ,(adj.),"superficial, achieved with minimal thought or care, insincere",(The business was in such shambles that any solution seemed facile at best; nothing could really helpit in the long-run.)
497,fallacious,(adj.),"incorrect, misleading",(Emily offered me cigarettes on the fallacious assumption that I smoked.)
498,fastidious,(adj.),"meticulous, demanding, having high and often unattainable standards",(Mark is so fastidious that he is never able to finish a project because it always seems imperfect to him.)
499,fathom,(v.),"to understand, comprehend",(cannot fathom why you like that crabby and mean-spirited neighbor of ours.)
500,fatuous,(adj.),"silly, foolish","(He considers himself a serious poet, but in truth, he only writes fatuous limericks.)"
501,fecund,(adj.),"fruitful, fertile",(The fecund tree bore enough apples to last us through the entire season.)
502,felicitous,(adj.),"well suited, apt","(While his comments were idiotic and rambling, mine were felicitous and helpful.)"
503, ,(adj.),"delightful, pleasing",(spent a felicitous afternoon visiting old friends.)
504,feral,(adj.),"wild, savage",(That beast looks so feral that I would fear being alone with it.)
505,fervent,(adj.),"ardent, passionate",(The fervent protestors chained themselves to the building and shouted all night long.)
506,fetid,(adj.),having a foul odor,(can tell from the fetid smell in your refrigerator that your milk has spoiled.)
507,fetter,(v.),"to chain, restrain",(The dog was fettered to the parking meter.)
508,fickle,(adj.),"shifting in character, inconstant","(In Greek dramas, the fickle gods help Achilles one day, and then harm him the next.)"
509,fidelity,(n.),"loyalty, devotion",(Guard dogs are known for the great fidelity they show toward their masters.)
510,figurative,(adj.),symbolic,"(Using figurative language, Jane likened the storm to an angry bull.)"
511,flabbergasted,(adj.),astounded,"(Whenever I read an Agatha Christie mystery novel, am always flabbergasted when I learn the identity of the murderer.)"
512,flaccid,(adj.),"limp, not firm or strong","(If a plant is not watered enough, its leaves become droopy and flaccid.)"
513,flagrant,(adj.),"offensive, egregious",(The judge’s decision to set the man free simply because that man was his brother was a flagrant abuse of power.)
514,florid,(adj.),"flowery, ornate",(The writer’s florid prose belongs on a sentimental Hallmark card.)
515,flout,(v.),to disregard or disobey openly,(flouted the school’s dress code by wearing a tie-dyed tank top and a pair of cut-off jeans.)
516,foil,(v.),"to thwart, frustrate, defeat",(Inspector Wilkens foiled the thieves by locking them in the bank along with their stolen money.)
517,forage,(v.),"to graze, rummage for food","(When we got lost on our hiking trip, we foraged for berries and nuts in order to survive.)"
518,forbearance,(n.),"patience, restraint, toleration",(The doctor showed great forbearance in calming down the angry patient who shouted insults at him.)
519,forestall,(v.),"to prevent, thwart, delay",(forestalled the cold I was getting by taking plenty of vitamin I pills and wearing a scarf.)
520,forlorn,(adj.),"lonely, abandoned, hopeless","(Even though I had the flu, my family decided to go skiing for the weekend and leave me home alone, feeling feverish and forlorn.)"
521,forsake,(v.),"to give up, renounce",(My New Year’s resolution is to forsake smoking and drinking.)
522,fortitude,(n.),"strength, guts",(Achilles’ fortitude in battle is legendary.)
523,fortuitous,(adj.),"happening by chance, often lucky or fortunate","(After looking for Manuel and not finding him at home, Harriet had a fortuitous encounter with him at the post office.)"
524,forum,(n.),a medium for lecture or discussion,(Some radio talk-shows provide a good forum for political debate.)
525,foster,(v.),"to stimulate, promote, encourage","(To foster good health in the city, the mayor started a “Get out and exercise!” campaign.)"
526,fractious,(adj.),troublesome or irritable,"(Although the child insisted he wasn’t tired, his fractious behavior—especially his decision to crush his cheese and crackers all over the floor—convinced everyone present that it was time to put him to bed.)"
527,fraught,(adj.),filled or accompanied with,"(Her glances in his direction were fraught with meaning, though precisely what meaning remained unclear.)"
528,frenetic,(adj.),"frenzied, hectic, frantic","(In the hours between night and morning, the frenetic pace of city life slows to a lull.)"
529,frivolous,(adj.),"of little importance, trifling","(Someday, all that anxiety about whether your zit will disappear before the prom will seem totally frivolous.)"
530,frugal,(adj.),"thrifty, economical",(Richard is so frugal that his diet consists almost exclusively of catfish and chicken liver—the two most inexpensive foods in the store.)
531,furtive,(adj.),"secretive, sly","(Jane’s placement of her drugs in her sock drawer was not as furtive as she thought, as the sock drawer is the first place most parents look.)"
532,garish,(adj.),"gaudy, in bad taste",(Mrs. Watson has poor taste and covers every object in her house with a garish gold lamé.)
533,garrulous,(adj.),"talkative, wordy",(Some talk show hosts are so garrulous that their guests can’t get a word in edgewise.)
534,genial,(adj.),"friendly, affable","(Although he’s been known to behave like a real jerk, would say that my brother is an overall genial guy.)"
535,gluttony,(n.),overindulgence in food or drink,"(Ada’s fried chicken tastes so divine, don’t know how anyone can call gluttony a sin.)"
536,goad,(v.),"to urge, spur, incite to action","(Jim may think he’s not going to fight Billy, but Billy will goad Jim on with insults until he throws a punch.)"
537,gourmand,(n.),someone fond of eating and drinking,"(My parents, who used to eat little more than crackers and salad, have become real gourmands in their old age.)"
538,grandiloquence,(n.),"lofty, pompous language","(The student thought her grandiloquence would make her sound smart, but neither the class nor the teacher bought it.)"
